"BehaviorSpace results (NetLogo 6.1.1)"
"virus-network-single-small-world.nlogo"
"secondary_test"
"05/06/2020 16:54:59:450 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-85","85","-85","85"
"[run number]","initial-asymptomatic-period","asymptomatic-infection-period","symptomatic-infection-period","virus-spread-chance","chance-removal","initial-outbreak-size","pathogen-infection-threshold","chance-symptomatic","social-distance-chance","pathogen-fatal-threshold","social-distance-threshold","[step]","count turtles","time","number-resistant","number-removed","number-resistant-or-removed"
"1","1","5","5","1","5","5","25","25","0","1000","1","6","500","6","5","0","5"
"2","1","5","5","1","5","5","25","25","0","1000","2","6","500","6","5","0","5"
"3","1","5","5","1","5","5","25","25","0","1000","4","6","500","6","5","0","5"
"4","1","5","5","1","5","5","25","25","0","1000","8","6","500","6","5","0","5"
"5","1","5","5","1","5","5","25","25","10","1000","1","6","500","6","5","0","5"
"6","1","5","5","1","5","5","25","25","10","1000","2","6","500","6","5","0","5"
"7","1","5","5","1","5","5","25","25","10","1000","4","6","500","6","5","0","5"
"8","1","5","5","1","5","5","25","25","10","1000","8","6","500","6","5","0","5"
"9","1","5","5","1","5","5","25","25","20","1000","1","6","500","6","5","0","5"
"10","1","5","5","1","5","5","25","25","20","1000","2","6","500","6","5","0","5"
"11","1","5","5","1","5","5","25","25","20","1000","4","6","500","6","5","0","5"
"12","1","5","5","1","5","5","25","25","20","1000","8","6","500","6","5","0","5"
"13","1","5","5","1","5","5","25","25","30","1000","1","6","500","6","5","0","5"
"14","1","5","5","1","5","5","25","25","30","1000","2","6","500","6","5","0","5"
"15","1","5","5","1","5","5","25","25","30","1000","4","6","500","6","5","0","5"
"16","1","5","5","1","5","5","25","25","30","1000","8","6","500","6","5","0","5"
"17","1","5","5","1","5","5","25","25","40","1000","1","6","500","6","5","0","5"
"18","1","5","5","1","5","5","25","25","40","1000","2","6","500","6","5","0","5"
"19","1","5","5","1","5","5","25","25","40","1000","4","6","500","6","5","0","5"
"20","1","5","5","1","5","5","25","25","40","1000","8","6","500","6","5","0","5"
"21","1","5","5","1","5","5","25","25","50","1000","1","6","500","6","5","0","5"
"22","1","5","5","1","5","5","25","25","50","1000","2","6","500","6","4","1","5"
"23","1","5","5","1","5","5","25","25","50","1000","4","6","500","6","5","0","5"
