"BehaviorSpace results (NetLogo 6.1.1)"
"virus-network-single-small-world.nlogo"
"refined_analysis_test"
"05/08/2020 16:51:06:080 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-85","85","-85","85"
"[run number]","initial-asymptomatic-period","asymptomatic-infection-period","symptomatic-infection-period","virus-spread-chance","chance-removal","initial-outbreak-size","pathogen-infection-threshold","chance-symptomatic","social-distance-chance","pathogen-fatal-threshold","social-distance-threshold","[step]","count turtles","time","number-resistant","number-removed","number-resistant-or-removed"
"1","3","8","8","5","5","5","25","25","60","1000","1","11","500","11","5","0","5"
"2","3","8","8","5","5","5","25","25","60","1000","2","11","500","11","4","1","5"
"3","3","8","8","5","5","5","25","25","60","1000","3","11","500","11","5","0","5"
"4","3","8","8","5","5","5","25","25","60","1000","4","11","500","11","5","0","5"
"5","3","8","8","5","5","5","25","25","60","1000","5","11","500","11","5","0","5"
"6","3","8","8","5","5","5","25","25","61","1000","1","11","500","11","5","0","5"
"7","3","8","8","5","5","5","25","25","61","1000","2","11","500","11","5","0","5"
"8","3","8","8","5","5","5","25","25","61","1000","3","11","500","11","5","0","5"
"9","3","8","8","5","5","5","25","25","61","1000","4","11","500","11","5","0","5"
"10","3","8","8","5","5","5","25","25","61","1000","5","11","500","11","5","0","5"
"11","3","8","8","5","5","5","25","25","62","1000","1","11","500","11","5","0","5"
"12","3","8","8","5","5","5","25","25","62","1000","2","11","500","11","5","0","5"
"13","3","8","8","5","5","5","25","25","62","1000","3","11","500","11","5","0","5"
"14","3","8","8","5","5","5","25","25","62","1000","4","11","500","11","5","0","5"
"15","3","8","8","5","5","5","25","25","62","1000","5","11","500","11","5","0","5"
"16","3","8","8","5","5","5","25","25","63","1000","1","11","500","11","5","0","5"
"17","3","8","8","5","5","5","25","25","63","1000","2","11","500","11","5","0","5"
"18","3","8","8","5","5","5","25","25","63","1000","3","11","500","11","5","0","5"
"19","3","8","8","5","5","5","25","25","63","1000","4","11","500","11","5","0","5"
"20","3","8","8","5","5","5","25","25","63","1000","5","11","500","11","5","0","5"
"21","3","8","8","5","5","5","25","25","64","1000","1","11","500","11","5","0","5"
"22","3","8","8","5","5","5","25","25","64","1000","2","11","500","11","5","0","5"
"23","3","8","8","5","5","5","25","25","64","1000","3","11","500","11","5","0","5"
"24","3","8","8","5","5","5","25","25","64","1000","4","11","500","11","5","0","5"
"25","3","8","8","5","5","5","25","25","64","1000","5","11","500","11","5","0","5"
"26","3","8","8","5","5","5","25","25","65","1000","1","11","500","11","5","0","5"
"27","3","8","8","5","5","5","25","25","65","1000","2","11","500","11","5","0","5"
"28","3","8","8","5","5","5","25","25","65","1000","3","11","500","11","5","0","5"
"29","3","8","8","5","5","5","25","25","65","1000","4","11","500","11","5","0","5"
"30","3","8","8","5","5","5","25","25","65","1000","5","11","500","11","5","0","5"
"31","3","8","8","5","5","5","25","25","66","1000","1","11","500","11","5","0","5"
"32","3","8","8","5","5","5","25","25","66","1000","2","11","500","11","5","0","5"
"33","3","8","8","5","5","5","25","25","66","1000","3","11","500","11","5","0","5"
"34","3","8","8","5","5","5","25","25","66","1000","4","11","500","11","5","0","5"
"35","3","8","8","5","5","5","25","25","66","1000","5","11","500","11","5","0","5"
"36","3","8","8","5","5","5","25","25","67","1000","1","11","500","11","5","0","5"
"37","3","8","8","5","5","5","25","25","67","1000","2","11","500","11","5","0","5"
"38","3","8","8","5","5","5","25","25","67","1000","3","11","500","11","5","0","5"
"39","3","8","8","5","5","5","25","25","67","1000","4","11","500","11","5","0","5"
"40","3","8","8","5","5","5","25","25","67","1000","5","11","500","11","5","0","5"
"41","3","8","8","5","5","5","25","25","68","1000","1","11","500","11","5","0","5"
"42","3","8","8","5","5","5","25","25","68","1000","2","11","500","11","5","0","5"
"43","3","8","8","5","5","5","25","25","68","1000","3","11","500","11","5","0","5"
"44","3","8","8","5","5","5","25","25","68","1000","4","11","500","11","5","0","5"
"45","3","8","8","5","5","5","25","25","68","1000","5","11","500","11","5","0","5"
